vendor_id,vendor_name,vendor_type,tax_id_hash,country,currency,payment_terms,default_payment_method,bank_account_token,bank_routing_token,vendor_status,created_at,updated_at,source_system
VND_042018,Synthetic Delta Consulting 0018,supplier,a0d21be2c9585ecdd616c026,US,USD,NET30,ACH,BA_TKN_042_0000018,BR_TKN_0018,active,2024-08-06T10:00:00,2024-08-06T10:00:00,VendorManagement
VND_042019,Synthetic North Logistics 0019,services,129c4674d3c8e9db8e17fa28,US,USD,NET30,ACH,BA_TKN_042_0000019,BR_TKN_0019,active,2022-06-25T10:00:00,2022-06-25T10:00:00,VendorManagement
VND_042020,Synthetic Quartz Systems 0020,supplier,efb924b6ce94d2403678e116,DE,EUR,NET60,ACH,BA_TKN_042_0000020,BR_TKN_0020,active,2023-11-07T10:00:00,2023-11-07T10:00:00,VendorManagement
VND_042021,Synthetic Amber Solutions 0021,supplier,19cf4b562f3864e1e1150e91,US,USD,NET30,check,BA_TKN_042_0000021,BR_TKN_0021,active,2023-12-24T10:00:00,2023-12-24T10:00:00,VendorManagement
VND_042022,Synthetic Cedar Components 0022,supplier,86edbc70b73755521572236b,DE,EUR,NET45,ACH,BA_TKN_042_0000022,BR_TKN_0022,active,2022-09-23T10:00:00,2022-09-23T10:00:00,VendorManagement
VND_042023,Synthetic North Logistics 0023,supplier,141d4dfb4dacf7112647b7dd,US,USD,NET30,ACH,BA_TKN_042_0000042,BR_TKN_0023,active,2021-05-23T10:00:00,2025-02-12T11:00:00,VendorManagement
VND_042024,Synthetic Evergreen Systems 0024,professional,51196d1b50c12a4b80f3d0a2,US,USD,NET60,wire,BA_TKN_042_0000024,BR_TKN_0024,on_hold,2024-05-28T10:00:00,2025-02-05T11:00:00,VendorManagement
VND_042025,Synthetic Silver Services 0025,services,133bc65412bd7e032bf4fd17,US,USD,NET30,ACH,BA_TKN_042_0000025,BR_TKN_0025,active,2023-03-30T10:00:00,2023-03-30T10:00:00,VendorManagement
VND_042026,Synthetic Amber Solutions 0026,services,e2b32ab7694e6062a10d7280,US,USD,NET45,ACH,BA_TKN_042_0000026,BR_TKN_0026,active,2022-11-25T10:00:00,2022-11-25T10:00:00,VendorManagement
VND_042027,Synthetic Cedar Consulting 0027,professional,342ae9344505aba6ee9f535f,US,USD,NET15,ACH,BA_TKN_042_0000027,BR_TKN_0027,active,2021-05-02T10:00:00,2021-05-02T10:00:00,VendorManagement
VND_042028,Synthetic Harbor Systems 0028,services,5ea2bf5860298290668a80ed,US,USD,NET60,check,BA_TKN_042_0000028,BR_TKN_0028,active,2024-10-03T10:00:00,2024-10-03T10:00:00,VendorManagement
VND_042029,Synthetic Harbor Networks 0029,supplier,1f3ca9eafc4611511bf915f4,US,USD,NET30,ACH,BA_TKN_042_0000029,BR_TKN_0029,active,2022-05-14T10:00:00,2022-05-14T10:00:00,VendorManagement
VND_042030,Synthetic Summit Components 0030,software,1099ebaea889be8e0195af35,US,USD,DUE_ON_RECEIPT,ACH,BA_TKN_042_0000030,BR_TKN_0030,active,2023-08-16T10:00:00,2023-08-16T10:00:00,VendorManagement
VND_042031,Synthetic Atlas Systems 0031,supplier,3e619033f8dee2102e39b87a,US,USD,NET45,ACH,BA_TKN_042_0000031,BR_TKN_0031,active,2022-11-27T10:00:00,2022-11-27T10:00:00,VendorManagement
VND_042032,Synthetic Cedar Consulting 0032,services,9e9b6d8c5ddfc787a08d7273,US,USD,NET15,ACH,BA_TKN_042_0000032,BR_TKN_0032,active,2023-08-07T10:00:00,2023-08-07T10:00:00,VendorManagement
VND_042033,Synthetic Amber Consulting 0033,professional,89bc7cb028a4b8bb236dd0b1,US,USD,NET15,ACH,BA_TKN_042_0000033,BR_TKN_0033,active,2024-01-14T10:00:00,2024-01-14T10:00:00,VendorManagement
VND_042034,Synthetic Evergreen Components 0034,supplier,bcd3cbcf5e46a8e347b8705d,US,USD,NET30,ACH,BA_TKN_042_0000034,BR_TKN_0034,active,2022-03-15T10:00:00,2022-03-15T10:00:00,VendorManagement
VND_042035,Synthetic Cobalt Networks 0035,software,38bae2555cd6a3a73a74c161,GB,GBP,NET60,wire,BA_TKN_042_0000035,BR_TKN_0035,active,2023-07-22T10:00:00,2023-07-22T10:00:00,VendorManagement
VND_042036,Synthetic Blue Systems 0036,supplier,2c6d71a57089c37c0f299b20,US,USD,DUE_ON_RECEIPT,ACH,BA_TKN_042_0000036,BR_TKN_0036,active,2023-09-25T10:00:00,2023-09-25T10:00:00,VendorManagement
VND_042037,Synthetic Amber Components 0037,services,da9e16fca379c80e130ae089,US,USD,NET30,check,BA_TKN_042_0000037,BR_TKN_0037,active,2022-10-06T10:00:00,2022-10-06T10:00:00,VendorManagement
VND_042038,Synthetic Atlas Logistics 0038,supplier,f2f60588ffdb49a4dbea79cc,US,USD,NET30,check,BA_TKN_042_0000038,BR_TKN_0038,on_hold,2023-11-08T10:00:00,2023-11-08T10:00:00,VendorManagement
VND_042039,Synthetic Cedar Solutions 0039,services,418d267065cebf830a044acf,US,USD,NET45,ACH,BA_TKN_042_0000039,BR_TKN_0039,active,2024-03-13T10:00:00,2024-03-13T10:00:00,VendorManagement
VND_042040,Synthetic Delta Supply 0040,supplier,832fab2cac7ee6a938f36d58,US,USD,NET60,ACH,BA_TKN_042_0000040,BR_TKN_0040,active,2023-12-08T10:00:00,2023-12-08T10:00:00,VendorManagement
