feature_id,feature_name,feature_type,source_tables,train_missing_rate,validation_missing_rate,train_cardinality,constant_train,near_constant_train,max_abs_one_vs_rest_train_correlation,suspicious_target_correlation,registry_leakage_status,retained_under_frozen_registry
NUM006,invoice_due_lag_days,numeric,invoices,0.08305369127516779,0.09615384615384616,5,False,False,0.06488562633358835,False,PASS,True
NUM007,invoice_received_delay_days,numeric,invoices,0.08305369127516779,0.09615384615384616,6,False,False,0.08613793530023725,False,PASS,True
NUM008,invoice_line_count,numeric,invoice_lines,0.0,0.0,5,False,False,0.39762749881858217,False,PASS,True
NUM009,invoice_line_quantity_sum,numeric,invoice_lines,0.0,0.0,73,False,False,0.2887866192078834,False,PASS,True
NUM010,invoice_line_amount_sum,numeric,invoice_lines,0.0,0.0,1042,False,False,0.15531800420777309,False,PASS,True
NUM011,invoice_line_unit_price_mean,numeric,invoice_lines,0.08305369127516779,0.09615384615384616,1040,False,False,0.11604717310575162,False,PASS,True
NUM012,po_total,numeric,purchase_orders,0.3598993288590604,0.36538461538461536,733,False,False,0.07308192634490697,False,PASS,True
NUM013,po_subtotal,numeric,purchase_orders,0.3598993288590604,0.36538461538461536,733,False,False,0.07141220055413608,False,PASS,True
NUM014,po_tax,numeric,purchase_orders,0.3598993288590604,0.36538461538461536,576,False,False,0.07560800443251596,False,PASS,True
NUM015,po_shipping,numeric,purchase_orders,0.3598993288590604,0.36538461538461536,260,False,False,0.1133116635853064,False,PASS,True
NUM016,po_age_calendar_days,numeric,purchase_orders,0.3598993288590604,0.36538461538461536,389,False,False,0.07122226320437237,False,PASS,True
NUM017,po_line_count,numeric,po_lines,0.0,0.0,5,False,False,0.2332434627511474,False,PASS,True
NUM018,po_line_quantity_sum,numeric,po_lines,0.0,0.0,75,False,False,0.20729659228918287,False,PASS,True
NUM019,po_line_amount_sum,numeric,po_lines,0.0,0.0,734,False,False,0.11893419680819158,False,PASS,True
NUM020,payment_amount,numeric,payments,0.2709731543624161,0.3870192307692308,835,False,False,0.1310289471652383,False,PASS,True
NUM021,payment_age_calendar_days,numeric,payments,0.2709731543624161,0.3870192307692308,394,False,False,0.09787126982970197,False,PASS,True
NUM022,allocation_count,numeric,payment_allocations,0.0,0.0,5,False,False,0.3520868067934396,False,PASS,True
NUM023,allocated_amount_sum,numeric,payment_allocations,0.0,0.0,769,False,False,0.18079021225925354,False,PASS,True
NUM024,linked_invoice_count,numeric,payment_allocations;invoices,0.0,0.0,3,False,False,0.2936482690692329,False,PASS,True
NUM025,linked_invoice_total_sum,numeric,payment_allocations;invoices,0.0,0.0,766,False,False,0.14121838810929044,False,PASS,True
NUM026,linked_payment_count,numeric,payment_allocations;payments,0.0,0.0,4,False,False,0.3420297924622263,False,PASS,True
NUM027,bank_amount,numeric,bank_transactions,0.2709731543624161,0.36538461538461536,806,False,False,0.12942063999994746,False,PASS,True
NUM028,bank_age_calendar_days,numeric,bank_transactions,0.2709731543624161,0.36538461538461536,332,False,False,0.14028272608254388,False,PASS,True
NUM029,bank_reference_match_count,numeric,payments;bank_transactions,0.0,0.0,3,False,False,0.3013734395898313,False,PASS,True
NUM030,gl_line_count,numeric,payments;gl_entries,0.0,0.0,4,False,False,0.3245012476531877,False,PASS,True
NUM031,gl_journal_count,numeric,payments;gl_entries,0.0,0.0,4,False,False,0.3245012476531877,False,PASS,True
NUM032,gl_total_debit,numeric,gl_entries,0.0,0.0,822,False,False,0.17167365806070783,False,PASS,True
NUM033,gl_total_credit,numeric,gl_entries,0.0,0.0,822,False,False,0.17167365806070783,False,PASS,True
NUM034,gl_ap_debit,numeric,gl_entries,0.0,0.0,822,False,False,0.17837786125080882,False,PASS,True
NUM035,gl_cash_credit,numeric,gl_entries,0.0,0.0,822,False,False,0.17837786125080882,False,PASS,True
NUM036,approval_event_count,numeric,approval_events,0.0,0.0,7,False,False,0.2790796034475983,False,PASS,True
NUM037,approval_effective_count,numeric,approval_events,0.0,0.0,5,False,False,0.2510482453750158,False,PASS,True
NUM038,approval_max_level,numeric,approval_events,0.3464765100671141,0.44471153846153844,3,False,False,0.11189713765302173,False,PASS,True
NUM039,approval_distinct_role_count,numeric,approval_events,0.0,0.0,4,False,False,0.26915698048433523,False,PASS,True
NUM040,approval_missing_employee_actor_count,numeric,approval_events;employees,0.0,0.0,1,True,True,,False,PASS,True
NUM041,vendor_change_count,numeric,vendor_change_log,0.0,0.0,4,False,False,0.20771476304903175,False,PASS,True
NUM042,vendor_change_before_payment_count,numeric,vendor_change_log;payments,0.0,0.0,4,False,False,0.35040229523304706,False,PASS,True
NUM043,vendor_name_length,numeric,vendors,0.03859060402684564,0.052884615384615384,11,False,False,0.06959592091674201,False,PASS,True
NUM044,vendor_name_token_count,numeric,vendors,0.0,0.0,2,False,False,0.9999999999999999,True,PASS,True
NUM045,duplicate_same_vendor_count,numeric,invoices,0.0,0.0,61,False,False,0.22930419968230742,False,PASS,True
NUM046,duplicate_exact_reference_count,numeric,invoices,0.0,0.0,2,False,False,1.0,True,PASS,True
NUM047,duplicate_best_reference_similarity,numeric,invoices,0.08473154362416108,0.0985576923076923,8,False,False,0.5543500493079235,False,PASS,True
NUM048,duplicate_min_date_gap_days,numeric,invoices,0.08473154362416108,0.0985576923076923,120,False,False,0.18901246881609152,False,PASS,True
NUM049,duplicate_min_amount_gap,numeric,invoices,0.08473154362416108,0.0985576923076923,852,False,False,0.06680477739509827,False,PASS,True
NUM050,bank_fee_debit_total,numeric,bank_transactions;gl_entries,0.0,0.0,5,False,False,0.24797803908987104,False,PASS,True
NUM051,fx_journal_count,numeric,bank_transactions;gl_entries,0.0,0.0,2,False,False,0.1682281961359173,False,PASS,True
NUM052,fx_event_count,numeric,bank_transactions;audit_log,0.0,0.0,2,False,False,0.1682281961359173,False,PASS,True
NUM053,payment_reference_use_count,numeric,payments,0.0,0.0,2,False,False,0.3776252613264668,False,PASS,True
NUM054,bank_economic_candidate_count,numeric,payments;bank_transactions,0.0,0.0,3,False,False,0.3681099941057813,False,PASS,True
DIF001,invoice_po_total_abs_diff,numeric,invoices;purchase_orders,0.3598993288590604,0.36538461538461536,78,False,False,0.74147571169262,False,PASS,True
DIF002,invoice_po_total_rel_diff,numeric,invoices;purchase_orders,0.3598993288590604,0.36538461538461536,78,False,False,0.8590139706399693,False,PASS,True
DIF003,invoice_po_tax_abs_diff,numeric,invoices;purchase_orders,0.3598993288590604,0.36538461538461536,1,True,False,,False,PASS,True
DIF004,invoice_po_shipping_abs_diff,numeric,invoices;purchase_orders,0.3598993288590604,0.36538461538461536,1,True,False,,False,PASS,True
DIF005,invoice_po_line_amount_abs_diff,numeric,invoice_lines;po_lines,0.3598993288590604,0.36538461538461536,78,False,False,0.74147571169262,False,PASS,True
DIF006,invoice_po_line_quantity_abs_diff,numeric,invoice_lines;po_lines,0.3598993288590604,0.36538461538461536,20,False,False,0.8616490309645711,False,PASS,True
DIF007,payment_allocated_abs_diff,numeric,payments;payment_allocations,0.2709731543624161,0.3870192307692308,54,False,False,0.7595727568788628,False,PASS,True
DIF008,payment_allocated_rel_diff,numeric,payments;payment_allocations,0.2709731543624161,0.3870192307692308,2,False,False,1.0,True,PASS,True
DIF009,invoice_paid_abs_diff,numeric,invoices;payment_allocations;payments,0.08305369127516779,0.09615384615384616,504,False,False,0.21943026043905575,False,PASS,True
DIF010,invoice_paid_rel_diff,numeric,invoices;payment_allocations;payments,0.08305369127516779,0.09615384615384616,87,False,False,0.3097549726095228,False,PASS,True
DIF011,payment_bank_abs_diff,numeric,payments;bank_transactions,0.30956375838926176,0.4182692307692308,184,False,False,0.19361680921780758,False,PASS,True
DIF012,payment_bank_rel_diff,numeric,payments;bank_transactions,0.30956375838926176,0.4182692307692308,233,False,False,0.173421085238725,False,PASS,True
DIF013,gl_balance_abs_diff,numeric,gl_entries,0.0,0.0,1,True,True,,False,PASS,True
DIF014,payment_ap_debit_abs_diff,numeric,payments;gl_entries,0.2709731543624161,0.3870192307692308,349,False,False,0.3560251866920987,False,PASS,True
DIF015,payment_cash_credit_abs_diff,numeric,payments;gl_entries,0.2709731543624161,0.3870192307692308,349,False,False,0.3560251866920987,False,PASS,True
DIF016,bank_fee_adjusted_abs_diff,numeric,payments;bank_transactions;gl_entries,0.30956375838926176,0.4182692307692308,184,False,False,0.19415174198703286,False,PASS,True
DIF017,days_po_to_invoice,numeric,purchase_orders;invoices,0.3598993288590604,0.36538461538461536,31,False,False,0.06670406529210288,False,PASS,True
DIF018,days_invoice_to_payment,numeric,invoices;payments,0.31543624161073824,0.43028846153846156,116,False,False,0.1319837701066929,False,PASS,True
DIF019,days_payment_to_bank,numeric,payments;bank_transactions,0.30956375838926176,0.4182692307692308,28,False,False,0.13396562487471456,False,PASS,True
DIF020,minutes_final_approval_to_payment,numeric,approval_events;payments,0.3464765100671141,0.44471153846153844,112,False,False,0.17579633710247755,False,PASS,True
MAT001,invoice_has_po,binary,invoices,0.0,0.0,3,False,False,0.5227331637477398,False,PASS,True
MAT002,po_found,binary,invoices;purchase_orders,0.0,0.0,2,False,False,0.28768001695285994,False,PASS,True
MAT003,invoice_po_vendor_match,binary,invoices;purchase_orders,0.0,0.0,3,False,False,0.28184450144773043,False,PASS,True
MAT004,invoice_po_currency_match,binary,invoices;purchase_orders,0.0,0.0,2,False,False,0.28768001695285994,False,PASS,True
MAT005,all_invoice_lines_po_linked,binary,invoice_lines;po_lines,0.0,0.0,2,False,False,0.7167514107747522,False,PASS,True
MAT006,any_invoice_line_missing_po_target,binary,invoice_lines;po_lines,0.0,0.0,2,False,False,0.7167514107747522,False,PASS,True
MAT007,invoice_po_quantities_all_equal,binary,invoice_lines;po_lines,0.0,0.0,3,False,False,0.2817218100639651,False,PASS,True
MAT008,payment_has_allocations,binary,payments;payment_allocations,0.0,0.0,3,False,False,0.3674389570826896,False,PASS,True
MAT009,allocations_all_invoices_found,binary,payment_allocations;invoices,0.0,0.0,2,False,False,0.33915917382858946,False,PASS,True
MAT010,payment_invoice_currency_all_match,binary,payments;invoices,0.0,0.0,2,False,False,0.33915917382858946,False,PASS,True
MAT011,payment_invoice_vendor_all_match,binary,payments;invoices,0.0,0.0,2,False,False,0.33915917382858946,False,PASS,True
MAT012,payment_reference_present,binary,payments,0.0,0.0,2,False,False,0.3776252613264668,False,PASS,True
MAT013,payment_reference_unique,binary,payments,0.0,0.0,2,False,False,0.3776252613264668,False,PASS,True
MAT014,bank_reference_match_found,binary,payments;bank_transactions,0.0,0.0,3,False,False,0.36222411454084347,False,PASS,True
MAT015,bank_reference_match_unique,binary,payments;bank_transactions,0.0,0.0,3,False,False,0.355103076787117,False,PASS,True
MAT016,payment_bank_currency_match,binary,payments;bank_transactions,0.0,0.0,3,False,False,0.34115886678439,False,PASS,True
MAT017,payment_bank_token_match,binary,payments;bank_transactions,0.0,0.0,3,False,False,0.3390377242252053,False,PASS,True
MAT018,gl_source_found,binary,payments;gl_entries,0.0,0.0,2,False,False,0.3776252613264668,False,PASS,True
MAT019,gl_currency_all_match,binary,payments;gl_entries,0.0,0.0,2,False,False,0.3776252613264668,False,PASS,True
MAT020,gl_period_all_match_payment_month,binary,payments;gl_entries,0.0,0.0,3,False,False,0.35725352069675426,False,PASS,True
MAT021,vendor_current_token_match,binary,payments;vendors,0.0,0.0,3,False,False,0.3659756030079166,False,PASS,True
MAT022,vendor_bank_history_present,binary,vendor_change_log,0.0,0.0,3,False,False,0.5033507880056356,False,PASS,True
MAT023,final_approver_employee_found,binary,approval_events;employees,0.0,0.0,2,False,False,0.30647543465237276,False,PASS,True
MAT024,final_approver_active,binary,approval_events;employees,0.0,0.0,2,False,False,0.30647543465237276,False,PASS,True
MAT025,final_approver_role_match,binary,approval_events;employees,0.0,0.0,2,False,False,0.30647543465237276,False,PASS,True
MAT026,invoice_reference_present,binary,invoices,0.0,0.0,2,False,False,0.7167514107747522,False,PASS,True
MIS001,missing_invoice,binary,invoices,0.0,0.0,2,False,False,0.7167514107747522,False,PASS,True
MIS002,missing_po,binary,purchase_orders,0.0,0.0,1,True,True,,False,PASS,True
MIS003,missing_vendor,binary,vendors,0.0,0.0,2,False,False,0.9999999999999999,True,PASS,True
MIS004,missing_payment,binary,payments,0.0,0.0,2,False,False,0.3776252613264668,False,PASS,True
MIS005,missing_bank_transaction,binary,bank_transactions,0.0,0.0,2,False,False,0.3776252613264668,False,PASS,True
MIS006,missing_gl,binary,gl_entries,0.0,0.0,2,False,False,0.3776252613264668,False,PASS,True
MIS007,missing_approval,binary,approval_events,0.0,0.0,2,False,False,0.33915917382858946,False,PASS,True
MIS008,missing_employee,binary,employees,0.0,0.0,1,True,True,,False,PASS,True
MIS009,missing_reference,binary,invoices;payments;bank_transactions,0.0,0.0,1,True,True,,False,PASS,True
MIS010,missing_currency,binary,invoices;payments;bank_transactions,0.0,0.0,1,True,True,,False,PASS,True
MIS011,missing_amount,binary,invoices;payments;bank_transactions,0.0,0.0,1,True,True,,False,PASS,True
MIS012,missing_invoice_lines,binary,invoice_lines,0.0,0.0,1,True,True,,False,PASS,True
MIS013,missing_po_lines,binary,po_lines,0.0,0.0,1,True,True,,False,PASS,True
MIS014,missing_allocations,binary,payment_allocations,0.0,0.0,2,False,False,0.33915917382858946,False,PASS,True
MIS015,missing_vendor_change_history,binary,vendor_change_log,0.0,0.0,2,False,False,0.24351623337780473,False,PASS,True
REL001,scope_invoice_count,numeric,invoices;payment_allocations,0.0,0.0,3,False,False,0.4969918396133436,False,PASS,True
REL002,scope_payment_count,numeric,payments;payment_allocations,0.0,0.0,4,False,False,0.3416527262558696,False,PASS,True
REL003,scope_bank_count,numeric,payments;bank_transactions,0.0,0.0,4,False,False,0.3184340649570314,False,PASS,True
REL004,scope_distinct_invoice_vendor_count,numeric,invoices,0.0,0.0,2,False,False,0.7167514107747522,False,PASS,True
REL005,scope_distinct_payment_vendor_count,numeric,payments,0.0,0.0,2,False,False,0.3776252613264668,False,PASS,True
